scenario; id; x; y; arrival; demand
5; 1; 593; 250; 25; 107
5; 2; 460; 614; 25; 112
5; 3; 519; 370; 60; 81
5; 4; 652; 879; 95; 72
5; 5; 369; 485; 35; 39
5; 6; 332; 67; 10; 94
5; 7; 370; 782; 55; 36
5; 8; 581; 285; 105; 47
5; 9; 933; 310; 50; 50
5; 10; 973; 322; 75; 78
5; 11; 666; 122; 70; 47
5; 12; 275; 959; 35; 45
5; 13; 341; 132; 40; 34
5; 14; 706; 893; 20; 116
5; 15; 950; 247; 120; 39
5; 16; 27; 924; 0; 40
5; 17; 461; 367; 85; 98
5; 18; 647; 350; 0; 78
5; 19; 28; 276; 0; 72
5; 20; 715; 749; 75; 119
5; 21; 333; 293; 30; 100
5; 22; 881; 710; 105; 112
5; 23; 772; 970; 0; 67
5; 24; 672; 664; 120; 60
5; 25; 681; 422; 100; 75
5; 26; 936; 679; 95; 68
5; 27; 307; 113; 0; 29
5; 28; 717; 693; 10; 45
5; 29; 546; 675; 120; 83
5; 30; 648; 825; 100; 77
5; 31; 982; 612; 75; 101
5; 32; 680; 308; 115; 111
5; 33; 533; 988; 100; 29
5; 34; 649; 39; 45; 24
5; 35; 134; 357; 65; 100
5; 36; 973; 659; 5; 39
5; 37; 333; 932; 45; 44
5; 38; 691; 329; 95; 55
5; 39; 334; 261; 75; 69
5; 40; 229; 295; 70; 114
5; 41; 645; 47; 115; 31
5; 42; 479; 658; 105; 55
5; 43; 676; 710; 10; 58
5; 44; 343; 605; 60; 116
5; 45; 143; 994; 45; 21
5; 46; 685; 359; 105; 31
5; 47; 749; 843; 55; 105
5; 48; 594; 797; 60; 65
5; 49; 170; 655; 100; 22
5; 50; 623; 700; 70; 61
